"GEOID","county","pub_assist","ed_total","higher_ed","higher_ed_prop"
"01003","Baldwin County, Alabama",98854,178759,59850,0.334808317343462
"01015","Calhoun County, Alabama",45701,78478,16568,0.211116491245954
"01043","Cullman County, Alabama",35966,63473,12787,0.20145573708506
"01049","DeKalb County, Alabama",26459,48375,6597,0.136372093023256
"01051","Elmore County, Alabama",34061,63862,14345,0.224624972597163
"01055","Etowah County, Alabama",39956,73017,12325,0.168796307709164
"01069","Houston County, Alabama",42417,74857,18200,0.243130234981364
"01073","Jefferson County, Alabama",271877,451876,169896,0.375979250944949
"01077","Lauderdale County, Alabama",39021,65935,16724,0.253643740047016
"01081","Lee County, Alabama",71830,110729,46888,0.423448238492175
"01083","Limestone County, Alabama",40036,78806,26820,0.340329416541888
"01089","Madison County, Alabama",166454,277522,129594,0.466968384488437
"01095","Marshall County, Alabama",36611,65546,13334,0.203429652457816
"01097","Mobile County, Alabama",162605,279710,70944,0.253634121053949
"01101","Montgomery County, Alabama",90527,150841,54929,0.364151656379897
"01103","Morgan County, Alabama",49140,85237,21259,0.249410467285334
"01115","St. Clair County, Alabama",35558,66167,12889,0.194794988438345
"01117","Shelby County, Alabama",87755,158255,78625,0.49682474487378
"01121","Talladega County, Alabama",34679,58428,10029,0.171647155473403
"01125","Tuscaloosa County, Alabama",89075,142968,48496,0.339208773991383
"02020","Anchorage Municipality, Alaska",109856,192673,73048,0.379129405780779
"02090","Fairbanks North Star Borough, Alaska",37356,61880,17665,0.285471881060116
"02170","Matanuska-Susitna Borough, Alaska",39942,75001,16341,0.217877094972067
"04001","Apache County, Arizona",20690,41879,5864,0.140022445617135
"04003","Cochise County, Arizona",49981,89088,24641,0.276591684626437
"04005","Coconino County, Arizona",53988,87800,36996,0.421366742596811
"04013","Maricopa County, Arizona",1726554,3096494,1118210,0.361121319789413
"04015","Mohave County, Arizona",99512,172565,26099,0.151241561150871
"04017","Navajo County, Arizona",41415,72384,14133,0.195250331564987
"04019","Pima County, Arizona",436469,721417,267349,0.370588716373471
"04021","Pinal County, Arizona",164281,325679,74641,0.229185793373229
"04025","Yavapai County, Arizona",110928,193188,55996,0.289852371782926
"04027","Yuma County, Arizona",80857,135602,22554,0.166324980457515
"05007","Benton County, Arkansas",112045,201794,77673,0.384912336343003
"05031","Craighead County, Arkansas",44528,72269,18605,0.257440949784832
"05045","Faulkner County, Arkansas",49270,80027,23639,0.295387806615267
"05051","Garland County, Arkansas",45340,73159,18961,0.259175221093782
"05069","Jefferson County, Arkansas",24326,44084,9498,0.215452318301425
"05085","Lonoke County, Arkansas",28268,51112,10804,0.211378932540304
"05119","Pulaski County, Arkansas",174628,271548,102310,0.376765801994491
"05125","Saline County, Arkansas",50237,87929,24428,0.277815055328731
"05131","Sebastian County, Arkansas",52078,87277,18159,0.208061688646493
"05143","Washington County, Arkansas",98935,157157,55549,0.353461824799404
"05145","White County, Arkansas",29805,50973,10681,0.209542306711396
"06001","Alameda County, California",596614,1179725,630799,0.534700036025345
"06007","Butte County, California",82494,135390,46747,0.345276608316715
"06013","Contra Costa County, California",415194,811661,366230,0.451210542332328
"06017","El Dorado County, California",74376,144290,55466,0.384406403770185
"06019","Fresno County, California",326981,633325,153012,0.241601073698338
"06023","Humboldt County, California",56785,95294,31044,0.325770772556509
"06025","Imperial County, California",50877,111134,18617,0.167518491190815
"06029","Kern County, California",283510,562332,107077,0.19041598201774
"06031","Kings County, California",43646,95511,15220,0.159353372909927
"06033","Lake County, California",27058,49755,9264,0.186192342478143
"06037","Los Angeles County, California",3415726,6845803,2440180,0.356449053529586
"06039","Madera County, California",45539,100864,21573,0.213882059010152
"06041","Marin County, California",103285,191896,120127,0.626000541960228
"06045","Mendocino County, California",34998,65421,16164,0.24707662677122
"06047","Merced County, California",87830,174432,28290,0.162183544303797
"06053","Monterey County, California",132411,278754,76760,0.275368245836831
"06055","Napa County, California",51025,96760,38618,0.399111202976437
"06057","Nevada County, California",44000,79647,31286,0.392808266475825
"06059","Orange County, California",1085225,2204111,964122,0.437419894007153
"06061","Placer County, California",160203,296525,123392,0.41612680212461
"06065","Riverside County, California",769475,1640068,409850,0.249898174953721
"06067","Sacramento County, California",572744,1089547,368064,0.337813788666299
"06069","San Benito County, California",20610,44072,11855,0.268991650027228
"06071","San Bernardino County, California",674191,1412051,324956,0.230130498119402
"06073","San Diego County, California",1172343,2268126,975935,0.430282532804615
"06075","San Francisco County, California",361912,644349,395589,0.613935926027665
"06077","San Joaquin County, California",241903,509375,116879,0.229455705521472
"06079","San Luis Obispo County, California",111713,190875,78677,0.412191224623445
"06081","San Mateo County, California",262122,536358,290134,0.540933480995902
"06083","Santa Barbara County, California",150851,278594,103392,0.37112069893824
"06085","Santa Clara County, California",656477,1326338,752387,0.567266413237048
"06087","Santa Cruz County, California",96015,178131,76707,0.430621284335686
"06089","Shasta County, California",71213,128563,30566,0.237751141463718
"06095","Solano County, California",159294,312815,89226,0.285235682432108
"06097","Sonoma County, California",194698,353683,135480,0.383054882479508
"06099","Stanislaus County, California",177101,351940,66212,0.188134341080866
"06101","Sutter County, California",33732,65284,14322,0.21937993995466
"06103","Tehama County, California",24625,43603,7287,0.167121528335206
"06107","Tulare County, California",143129,286363,46243,0.161483850916494
"06111","Ventura County, California",278631,577637,220554,0.381821109104853
"06113","Yolo County, California",77323,131004,54396,0.415223962627095
"06115","Yuba County, California",29430,54062,10339,0.191243387222078
"08001","Adams County, Colorado",190647,348368,100251,0.287773274238736
"08005","Arapahoe County, Colorado",258450,455475,211627,0.464629233218069
"08013","Boulder County, Colorado",137786,218841,138260,0.631782892602392
"08014","Broomfield County, Colorado",31244,54347,31437,0.578449592433805
"08031","Denver County, Colorado",334942,525770,299969,0.570532742453925
"08035","Douglas County, Colorado",140100,258961,160303,0.619023713995544
"08041","El Paso County, Colorado",293070,492193,209103,0.424839443064001
"08059","Jefferson County, Colorado",241421,427324,221962,0.519423201130758
"08069","Larimer County, Colorado",154391,248105,131335,0.529352491888515
"08077","Mesa County, Colorado",66134,112203,35928,0.320205342103152
"08101","Pueblo County, Colorado",67840,118695,28268,0.238156619908168
"08123","Weld County, Colorado",123825,229780,79561,0.346248585603621
"09110","Capitol Planning Region, Connecticut",392357,679146,283366,0.417238708613465
"09120","Greater Bridgeport Planning Region, Connecticut",118390,223546,91407,0.40889570826586
